Order_ID,Customer_Name,Tel_Nu,Email,Product_Category,Inventory_Count,Total_Inventory_Count_By_Product_Category,Sale_Price,Avg_Sale_Price_By_Product_Category,Discount_Rate,z_scores_Sale_Price,Order_Date,Delivery_Date,Regional_Code
2,Bob Smith,,alice@mail.com,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
3,Charlie Davis,555-0101,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
4,David Wilson,,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
5,,555-0103,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
8,Hank Anderson,,eve@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
9,Ivy Thomas,555-0105,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
10,Jack Jackson,,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
12,Bob Smith,,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
13,Charlie Davis,,ivy@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
14,,555-0109,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
15,Eve Miller,,alice@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
17,Grace Taylor,555-0101,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
18,Hank Anderson,,charlie@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
19,Ivy Thomas,555-0103,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
20,Jack Jackson,,eve@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
22,Bob Smith,,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
23,Charlie Davis,,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
24,David Wilson,,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
25,Eve Miller,,ivy@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
27,Grace Taylor,555-0109,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
28,Hank Anderson,,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
29,Ivy Thomas,555-0101,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
30,,,charlie@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
32,Bob Smith,,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
33,Charlie Davis,,eve@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
34,David Wilson,,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
35,Eve Miller,,grace@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
37,Grace Taylor,555-0107,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
38,Hank Anderson,,ivy@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
39,Ivy Thomas,555-0109,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
40,Jack Jackson,,alice@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
42,Bob Smith,555-0101,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
43,Charlie Davis,,charlie@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
44,,555-0103,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
45,Eve Miller,,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
47,Grace Taylor,555-0105,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
48,Hank Anderson,,grace@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
49,Ivy Thomas,555-0107,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
50,Jack Jackson,,ivy@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
52,Bob Smith,555-0109,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
53,Charlie Davis,,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
54,David Wilson,555-0101,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
55,Eve Miller,,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
57,Grace Taylor,555-0103,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
58,Hank Anderson,,eve@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
59,Ivy Thomas,,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
60,Jack Jackson,,grace@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
62,Bob Smith,555-0107,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
63,Charlie Davis,,ivy@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
64,David Wilson,,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
65,Eve Miller,,alice@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
67,Grace Taylor,555-0101,,Home Decor,,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
68,Hank Anderson,,charlie@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
69,Ivy Thomas,555-0103,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
70,Jack Jackson,,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
72,Bob Smith,555-0105,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
73,Charlie Davis,,grace@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
74,David Wilson,555-0107,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
75,Eve Miller,,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
77,Grace Taylor,555-0109,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
78,Hank Anderson,,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
79,Ivy Thomas,555-0101,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
80,Jack Jackson,,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
82,Bob Smith,555-0103,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
83,Charlie Davis,,eve@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
84,David Wilson,555-0105,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
85,Eve Miller,,grace@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
87,Grace Taylor,555-0107,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
88,Hank Anderson,,ivy@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
89,Ivy Thomas,555-0109,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
90,Jack Jackson,,alice@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
92,Bob Smith,555-0101,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
93,Charlie Davis,,charlie@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
94,David Wilson,555-0103,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
95,Eve Miller,,eve@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
97,Grace Taylor,555-0105,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
98,Hank Anderson,,grace@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
99,Ivy Thomas,555-0107,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
100,Jack Jackson,,ivy@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
102,Bob Smith,555-0109,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
103,Charlie Davis,,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
104,David Wilson,555-0101,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
105,Eve Miller,,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
107,Grace Taylor,555-0103,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
108,Hank Anderson,,eve@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
109,Ivy Thomas,555-0105,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
