Order@ID,Customer@Name,Contact@Info,Product@Category,Sale@Price,Order@Date,Delivery@Date,Inventory@Count,Discount@Rate,Regional@Code
ORD_1,dR. aLICE bROWN,Email: alice@mail.com,electronics,1200.5,2023-01-01,2023-01-05,50.0,0.1,USA-NY-10001
ORD_2,mrs. bob smith,Phone: 555-0101,HOME DECOR,45.99,2023-01-01,2023-01-05,150.0,0.15,CAN-ON-M5V
ORD_3,mr. charlie davis,,Clothing,89.0,2023-01-01,2023-01-05,200.0,0.05,USA-CA-90210
ORD_4,Mrs. David Wilson,Phone: 555-0103,Electronics,150.0,2023-01-01,2023-01-05,30.0,0.85,GER-BER-10115
ORD_5,,Email: eve@mail.com,hOME dECOR,12.5,2023-01-01,2023-01-05,500.0,0.12,UK-LON-EC1A
ORD_6,mRS. fRANK mOORE,Phone: 555-0105,electronics,1200.5,2023-01-01,2023-01-05,50.0,0.1,USA-NY-10001
ORD_7,MRS. GRACE TAYLOR,,home decor,,2023-01-01,2023-01-05,150.0,0.15,CAN-ON-M5V
ORD_8,mr. hank anderson,,cLOTHING,89.0,2023-01-01,2023-01-05,200.0,0.05,USA-CA-90210
ORD_9,MR. IVY THOMAS,Email: ivy@mail.com,ELECTRONICS,150.0,2023-01-01,2023-01-05,30.0,0.85,GER-BER-10115
ORD_10,Mrs. Jack Jackson,Phone: 555-0109,hOME dECOR,12.5,2023-01-01,2023-01-05,500.0,0.12,UK-LON-EC1A
ORD_11,MRS. ALICE BROWN,Email: alice@mail.com,Electronics,,2023-01-01,2023-01-05,50.0,0.1,USA-NY-10001
ORD_12,prof. bob smith,Phone: 555-0101,HOME DECOR,45.99,2023-01-01,2023-01-05,150.0,0.15,CAN-ON-M5V
ORD_13,MRS. CHARLIE DAVIS,Email: charlie@mail.com,Clothing,89.0,2023-01-01,2023-01-05,200.0,0.05,USA-CA-90210
ORD_14,,Phone: 555-0103,ELECTRONICS,150.0,2023-01-01,2023-01-05,30.0,0.85,GER-BER-10115
ORD_15,dR. eVE mILLER,Email: eve@mail.com,home decor,12.5,2023-01-01,2023-01-05,500.0,0.12,UK-LON-EC1A
ORD_16,DR. FRANK MOORE,,eLECTRONICS,,2023-01-01,2023-01-05,50.0,0.1,USA-NY-10001
ORD_17,mR. gRACE tAYLOR,,Home Decor,45.99,2023-01-01,2023-01-05,150.0,0.15,CAN-ON-M5V
ORD_18,pROF. hANK aNDERSON,,Clothing,89.0,2023-01-01,2023-01-05,200.0,0.05,USA-CA-90210
ORD_19,PROF. IVY THOMAS,Email: ivy@mail.com,Electronics,150.0,2023-01-01,2023-01-05,30.0,0.85,GER-BER-10115
ORD_20,dR. jACK jACKSON,Phone: 555-0109,home decor,12.5,2023-01-01,2023-01-05,500.0,0.12,UK-LON-EC1A
ORD_21,mR. aLICE bROWN,,ELECTRONICS,1200.5,2023-01-01,2023-01-05,50.0,0.1,USA-NY-10001
ORD_22,mr. bob smith,Phone: 555-0101,Home Decor,45.99,2023-01-01,2023-01-05,150.0,0.15,CAN-ON-M5V
ORD_23,DR. CHARLIE DAVIS,Email: charlie@mail.com,Clothing,89.0,2023-01-01,2023-01-05,200.0,0.05,USA-CA-90210
ORD_24,DR. DAVID WILSON,,electronics,150.0,2023-01-01,2023-01-05,30.0,0.85,GER-BER-10115
ORD_25,MR. EVE MILLER,Email: eve@mail.com,HOME DECOR,12.5,2023-01-01,2023-01-05,500.0,0.12,UK-LON-EC1A
ORD_26,mR. fRANK mOORE,,eLECTRONICS,1200.5,2023-01-01,2023-01-05,,0.1,USA-NY-10001
ORD_27,Mr. Grace Taylor,Email: grace@mail.com,HOME DECOR,45.99,2023-01-01,2023-01-05,150.0,0.15,CAN-ON-M5V
ORD_28,PROF. HANK ANDERSON,Phone: 555-0107,clothing,89.0,2023-01-01,2023-01-05,200.0,0.05,USA-CA-90210
ORD_29,dr. ivy thomas,Email: ivy@mail.com,ELECTRONICS,150.0,2023-01-01,2023-01-05,30.0,0.85,GER-BER-10115
ORD_30,,Phone: 555-0109,home decor,12.5,2023-01-01,2023-01-05,500.0,0.12,UK-LON-EC1A
ORD_31,dr. alice brown,Email: alice@mail.com,ELECTRONICS,1200.5,2023-01-01,2023-01-05,50.0,0.1,USA-NY-10001
ORD_32,mRS. bOB sMITH,Phone: 555-0101,hOME dECOR,45.99,2023-01-01,2023-01-05,150.0,0.15,CAN-ON-M5V
ORD_33,pROF. cHARLIE dAVIS,Email: charlie@mail.com,cLOTHING,89.0,2023-01-01,2023-01-05,200.0,0.05,USA-CA-90210
ORD_34,DR. DAVID WILSON,Phone: 555-0103,ELECTRONICS,150.0,2023-01-01,2023-01-05,30.0,0.85,GER-BER-10115
ORD_35,prof. eve miller,,Home Decor,12.5,2023-01-01,2023-01-05,500.0,0.12,UK-LON-EC1A
ORD_36,Mrs. Frank Moore,Phone: 555-0105,ELECTRONICS,1200.5,2023-01-01,2023-01-05,50.0,0.1,USA-NY-10001
ORD_37,pROF. gRACE tAYLOR,Email: grace@mail.com,hOME dECOR,45.99,2023-01-01,2023-01-05,150.0,0.15,CAN-ON-M5V
ORD_38,mr. hank anderson,Phone: 555-0107,Clothing,89.0,2023-01-01,2023-01-05,200.0,0.05,USA-CA-90210
